Author ID,Author Name,Paper IDs
2285461,S. Cowin,2808c73101b9f4cf99334c94398da178f26161cc ff76ec2e54d086cf21010ac93c0761fa6e973a17 26bb5fc74d9e293e158b0f7a3ea386d114416994
5090496,J. Currey,f293abfbb04d8ce7c8277bf5dcdc484ce2622481
3039810,D. Pahr,64b23a9eeb05f6ddb6172fc4fb193956b8bda8ef c696e3223c47cc8c383625699d42b546afd97111 34df9f7b48dcbea0ecdc17ad303691b7d02795bd 1ccaf0094701414bcce6c046654e8fc5e44f2b45 79620ccf1992319f61e12c0264a0a6de19775cce 8f336e98a6444b23915a37fdea94b758ff238707 2956968c136b850c22a44ae94e89bf6d02947f3b 8555d58b948fd5903b5b0968b3c0694481af5e0c ba72d192d9f97ac15cb80addbefb0eadf9fe648e
40482134,A. Reisinger,64b23a9eeb05f6ddb6172fc4fb193956b8bda8ef
21430571,Q. He,27f69ed85d41b5e9c36627b1167556f7e2340882
49924731,A. Curnier,27f69ed85d41b5e9c36627b1167556f7e2340882 580650f41f6c9c617ec634a94bc7f7c559bda078 acfc96b5ef994ef3a5b13aa2ea9d9fff44e3919f c7a032c2c6bf8d7a0758b6bd4f22564532aa9800
4099041,T. Harrigan,440abe997a380bb6a2ab31b8c6281410c10aa592
47409127,R. Mann,440abe997a380bb6a2ab31b8c6281410c10aa592
49758507,J. Mandel,7603918300efd09869062077125ed1ca15b5f1dd
49044588,R. Moreno,2926595b682fab9594fc25f58ce9953c44528443
145290346,M. Borga,2926595b682fab9594fc25f58ce9953c44528443
2534510,Ö. Smedby,2926595b682fab9594fc25f58ce9953c44528443
1561165594,Jing Lian,ae093b97bd711a1d7e209d04c3367a73bb5e2dff
2149232984,Zhen Yang,ae093b97bd711a1d7e209d04c3367a73bb5e2dff
2108324267,Jizhao Liu,ae093b97bd711a1d7e209d04c3367a73bb5e2dff
145180813,Wenhao Sun,ae093b97bd711a1d7e209d04c3367a73bb5e2dff
2149971652,Li Zheng,ae093b97bd711a1d7e209d04c3367a73bb5e2dff
2133926214,Xiaogang Du,ae093b97bd711a1d7e209d04c3367a73bb5e2dff
1576693208,Zetong Yi,ae093b97bd711a1d7e209d04c3367a73bb5e2dff
2075334831,Bin Shi,ae093b97bd711a1d7e209d04c3367a73bb5e2dff
1756244,Yide Ma,ae093b97bd711a1d7e209d04c3367a73bb5e2dff
3132199,H. Zhuang,8903d7043a139c1946fc9a4f50b895caaede1533
145466302,K. Low,8903d7043a139c1946fc9a4f50b895caaede1533
145492070,W. Yau,8903d7043a139c1946fc9a4f50b895caaede1533
2239381481,Brian K. Bay,71ec39f4863a8d7d68004a7477af73b540ab93e9
1396820624,E. Dall'Ara,329429a7c993020e2e9a8fede564549f7c03eadd 696a41c2afd4a66e17ea36fcb51460625b1888ba 79bab37919df133e92f9032f072cf72771ccf981 ba72d192d9f97ac15cb80addbefb0eadf9fe648e
5858565,G. Tozzi,329429a7c993020e2e9a8fede564549f7c03eadd
1737326,O. Ronneberger,6364fdaa0a0eccd823a779fcdd489173f938e91a
152702479,P. Fischer,6364fdaa0a0eccd823a779fcdd489173f938e91a
1710872,T. Brox,6364fdaa0a0eccd823a779fcdd489173f938e91a
1918754,K. Zhan,f2ce025d161fc4a4b04f95f7ebec8f4548e2b6a2
2112852081,Jinhui Shi,f2ce025d161fc4a4b04f95f7ebec8f4548e2b6a2
46507139,Haibo Wang,f2ce025d161fc4a4b04f95f7ebec8f4548e2b6a2
19217777,Yuange Xie,f2ce025d161fc4a4b04f95f7ebec8f4548e2b6a2
2108511025,Qiaoqiao Li,f2ce025d161fc4a4b04f95f7ebec8f4548e2b6a2
16729445,R. Courant,efa32848ae69aba45d37e02b872272b87e36d020
152450400,Wing Kam Liu,17a37c13a4f1eaa0c5fa3b6e51f1f0cc69cb4110
2086438,Shaofan Li,17a37c13a4f1eaa0c5fa3b6e51f1f0cc69cb4110
4159960,Harold S. Park,17a37c13a4f1eaa0c5fa3b6e51f1f0cc69cb4110
119893537,H. Hosseini,c696e3223c47cc8c383625699d42b546afd97111
2910343,P. Zysset,c696e3223c47cc8c383625699d42b546afd97111 f37c28adc2881aca4fd5969c2b49b3518b81f673 5711a7537804569151c82cf1b9cdeb44964ef632 59be96fe78ddef6dc8d60dffbb3ec0dc56525b48 912291ba4319af746fb628c0b7e659c70573b369 8701ddcbc7a956f73d81c588974ae23e2352c9dd 755a8ad46a3a9cbb1b8870e11adb3b599046f3ff fb18768a144f7f4dd3ca48a8d76e6f5faaf55ad2 34df9f7b48dcbea0ecdc17ad303691b7d02795bd 580650f41f6c9c617ec634a94bc7f7c559bda078 dea8075cc7fa43811b84cff0fde8ee2cc42e78eb 9d85868d7cb5286ad044a190775f5121d6af9c5b 12a6cd79f8d476fb2263c6f578330b2d1e9c4f9f 1ccaf0094701414bcce6c046654e8fc5e44f2b45 d295b1155a1a06096aa0ab763857afc0dfe56855 8f336e98a6444b23915a37fdea94b758ff238707 2956968c136b850c22a44ae94e89bf6d02947f3b 696a41c2afd4a66e17ea36fcb51460625b1888ba 8555d58b948fd5903b5b0968b3c0694481af5e0c ba72d192d9f97ac15cb80addbefb0eadf9fe648e a77448d31417004dde45d75309c05a9d98216188 c7a032c2c6bf8d7a0758b6bd4f22564532aa9800
3589473,S. Budday,b8fc77469064106b88538a175649d00af55f741b
6110024,T. Ovaert,b8fc77469064106b88538a175649d00af55f741b
2571471,G. Holzapfel,b8fc77469064106b88538a175649d00af55f741b 07a23efa5448264639997615cea4c2d93905c3e3 3de083d97646fb90b569115bedbbaab412e61a39
31673416,P. Steinmann,b8fc77469064106b88538a175649d00af55f741b
2307122,E. Kuhl,b8fc77469064106b88538a175649d00af55f741b
1742194711,H. Holthusen,5e648b8c40a2ab9f8b08cbc20f164ee4d5f04628
2145819158,L. Lamm,5e648b8c40a2ab9f8b08cbc20f164ee4d5f04628
73185868,T. Brepols,5e648b8c40a2ab9f8b08cbc20f164ee4d5f04628
2238149313,Stefanie Reese,5e648b8c40a2ab9f8b08cbc20f164ee4d5f04628
2266397454,Ellen Kuhl,5e648b8c40a2ab9f8b08cbc20f164ee4d5f04628
2044297103,Denisa Martonová,07a23efa5448264639997615cea4c2d93905c3e3
13701189,M. Peirlinck,07a23efa5448264639997615cea4c2d93905c3e3
2344160979,Kevin Linka,07a23efa5448264639997615cea4c2d93905c3e3 3de083d97646fb90b569115bedbbaab412e61a39 60c9a2b73be151bd622ae1be60fb16e19bb8079b 200655dc975e870e69368b9f30fdb78bdcd351ea 4918d9dc9f069330c4bfd02c64b7a6b551e1b8b9
2213334175,Sigrid Leyendecker,07a23efa5448264639997615cea4c2d93905c3e3
74021861,E. Kuhl,07a23efa5448264639997615cea4c2d93905c3e3 3de083d97646fb90b569115bedbbaab412e61a39 60c9a2b73be151bd622ae1be60fb16e19bb8079b 200655dc975e870e69368b9f30fdb78bdcd351ea 4918d9dc9f069330c4bfd02c64b7a6b551e1b8b9
4881755,A. B. Tepole,3de083d97646fb90b569115bedbbaab412e61a39
2070898413,S. S. Pierre,60c9a2b73be151bd622ae1be60fb16e19bb8079b
22170744,Jian-Ying Wu,1a7534e22eacda2f60c7b44c7cdf3934cdbba61e
35089024,Vinh Phu Nguyen,1a7534e22eacda2f60c7b44c7cdf3934cdbba61e
47047718,C. Nguyen,1a7534e22eacda2f60c7b44c7cdf3934cdbba61e
102151620,D. Sutula,1a7534e22eacda2f60c7b44c7cdf3934cdbba61e
9544203,Sina Sinaie,1a7534e22eacda2f60c7b44c7cdf3934cdbba61e
145861350,S. Bordas,1a7534e22eacda2f60c7b44c7cdf3934cdbba61e
49132574,D. Casari,f37c28adc2881aca4fd5969c2b49b3518b81f673 5711a7537804569151c82cf1b9cdeb44964ef632
2844802,J. Michler,f37c28adc2881aca4fd5969c2b49b3518b81f673 5711a7537804569151c82cf1b9cdeb44964ef632 59be96fe78ddef6dc8d60dffbb3ec0dc56525b48
16289041,J. Schwiedrzik,f37c28adc2881aca4fd5969c2b49b3518b81f673 5711a7537804569151c82cf1b9cdeb44964ef632 59be96fe78ddef6dc8d60dffbb3ec0dc56525b48 755a8ad46a3a9cbb1b8870e11adb3b599046f3ff fb18768a144f7f4dd3ca48a8d76e6f5faaf55ad2 34df9f7b48dcbea0ecdc17ad303691b7d02795bd
150215172,Michael Indermaur,5711a7537804569151c82cf1b9cdeb44964ef632
91439531,T. Kochetkova,5711a7537804569151c82cf1b9cdeb44964ef632 59be96fe78ddef6dc8d60dffbb3ec0dc56525b48
145253675,C. Peruzzi,5711a7537804569151c82cf1b9cdeb44964ef632 59be96fe78ddef6dc8d60dffbb3ec0dc56525b48
48076481,E. Zimmermann,5711a7537804569151c82cf1b9cdeb44964ef632 b257fac6b3b5dcf92cbae0901ffe7249d3dad884 cbd737ccb695e51721d4324c95501f75b10a7e8f
143946552,F. Rauch,5711a7537804569151c82cf1b9cdeb44964ef632
3757851,B. Willie,5711a7537804569151c82cf1b9cdeb44964ef632
153139928,O. Braun,59be96fe78ddef6dc8d60dffbb3ec0dc56525b48
33086325,Jan Overbeck,59be96fe78ddef6dc8d60dffbb3ec0dc56525b48
89989764,Anjani K. Maurya,59be96fe78ddef6dc8d60dffbb3ec0dc56525b48
152286136,A. Neels,59be96fe78ddef6dc8d60dffbb3ec0dc56525b48
2202908,M. Calame,59be96fe78ddef6dc8d60dffbb3ec0dc56525b48
5205398,Susanne Schrof,b3b761e8990995e6a3ad548858ebadc4471240f0 79620ccf1992319f61e12c0264a0a6de19775cce
144525097,P. Varga,b3b761e8990995e6a3ad548858ebadc4471240f0 71f86f63df608c46d26654dc8f55e471f2dcaf41 79620ccf1992319f61e12c0264a0a6de19775cce ba72d192d9f97ac15cb80addbefb0eadf9fe648e
4198273,L. Galvis,b3b761e8990995e6a3ad548858ebadc4471240f0
3058537,K. Raum,b3b761e8990995e6a3ad548858ebadc4471240f0 f8c2eb6866be1ff28af8dafab5d88a20917d1471 71f86f63df608c46d26654dc8f55e471f2dcaf41 79620ccf1992319f61e12c0264a0a6de19775cce
5888016,A. Masic,b3b761e8990995e6a3ad548858ebadc4471240f0
36661418,W. Oliver,9657ee59d6153ff7b998b429d619839545202448
91518582,G. Pharr,9657ee59d6153ff7b998b429d619839545202448
3131285,S. Bernard,937a41191456629efe00597cccc3d480b47d32f2
3678443,Q. Grimal,937a41191456629efe00597cccc3d480b47d32f2 f8c2eb6866be1ff28af8dafab5d88a20917d1471 71f86f63df608c46d26654dc8f55e471f2dcaf41 e58af76db93c4d6bec95867ae5b7ee77fbc6afc1
50517013,P. Laugier,937a41191456629efe00597cccc3d480b47d32f2 f8c2eb6866be1ff28af8dafab5d88a20917d1471 e58af76db93c4d6bec95867ae5b7ee77fbc6afc1
14105036,Joost A J van der Rijt,253e373e88435e2b6d6569d123d8b5244279a539
5066464,K. O. van der Werf,253e373e88435e2b6d6569d123d8b5244279a539
4799798,M. Bennink,253e373e88435e2b6d6569d123d8b5244279a539
9805183,P. Dijkstra,253e373e88435e2b6d6569d123d8b5244279a539
143623366,J. Feijen,253e373e88435e2b6d6569d123d8b5244279a539
50009716,G. Franzoso,8701ddcbc7a956f73d81c588974ae23e2352c9dd
3485503,U. Wolfram,fb18768a144f7f4dd3ca48a8d76e6f5faaf55ad2 34df9f7b48dcbea0ecdc17ad303691b7d02795bd
49773640,Thomas G. Gross,34df9f7b48dcbea0ecdc17ad303691b7d02795bd 12a6cd79f8d476fb2263c6f578330b2d1e9c4f9f 1ccaf0094701414bcce6c046654e8fc5e44f2b45
144793101,H. Wilke,34df9f7b48dcbea0ecdc17ad303691b7d02795bd
46462461,André Gutiérrez Marty,29c879fd55e949fe34a7cad48e9b4758c7af88b3
2230987,P. Barbone,29c879fd55e949fe34a7cad48e9b4758c7af88b3
11049913,E. Morgan,29c879fd55e949fe34a7cad48e9b4758c7af88b3 a169125cebb03ba7d2bb7a6ffa25b4106fcdfc55 603a7759914ea695af6fbf373340e4a2e5d1c049
2082309574,D. Garcia,580650f41f6c9c617ec634a94bc7f7c559bda078
144639366,M. Charlebois,580650f41f6c9c617ec634a94bc7f7c559bda078
2472427,B. Helgason,0b01d812426bd13ce8d8bd9f762ba9f4dd10d428 9d85868d7cb5286ad044a190775f5121d6af9c5b
6138544,E. Perilli,0b01d812426bd13ce8d8bd9f762ba9f4dd10d428
9266668,E. Schileo,0b01d812426bd13ce8d8bd9f762ba9f4dd10d428 073ed527eee98929b52f2c53a063a60ae6158160
34907118,F. Taddei,0b01d812426bd13ce8d8bd9f762ba9f4dd10d428 073ed527eee98929b52f2c53a063a60ae6158160
6597016,S. Brynjólfsson,0b01d812426bd13ce8d8bd9f762ba9f4dd10d428
3011990,M. Viceconti,0b01d812426bd13ce8d8bd9f762ba9f4dd10d428
2109944312,Guoyu Yang,2301cd5dcdb4a9efbe39ee3c7833d9120e070c1a
1394373718,J. Kabel,2301cd5dcdb4a9efbe39ee3c7833d9120e070c1a
122216655,B. van Rietbergen,2301cd5dcdb4a9efbe39ee3c7833d9120e070c1a
145594122,A. Odgaard,2301cd5dcdb4a9efbe39ee3c7833d9120e070c1a
86902192,R. Huiskes,2301cd5dcdb4a9efbe39ee3c7833d9120e070c1a 5b3b9db380327b1f5a91d307102a3682d4f9d4e8
1455008456,Stephen C. Cown,2301cd5dcdb4a9efbe39ee3c7833d9120e070c1a
31937071,F. Sabet,ac7b39c07bdcd933f9801e741b1dead07fe23022
13260900,Ahmad Raeisi Najafi,ac7b39c07bdcd933f9801e741b1dead07fe23022
2833872,E. Hamed,ac7b39c07bdcd933f9801e741b1dead07fe23022 2487941be2c390f9b7980cd96c9d484b0da3972a
46343924,I. Jasiuk,ac7b39c07bdcd933f9801e741b1dead07fe23022 2487941be2c390f9b7980cd96c9d484b0da3972a
2423230,L. Breiman,8e0be569ea77b8cb29bb0e8b031887630fe7a96c
24425736,Hang Ping,a4cf7e25558c1b49579dea7ad9bf712f40ee9bba
5330875,W. Wagermaier,a4cf7e25558c1b49579dea7ad9bf712f40ee9bba 227e5a4a90c5c21069ddccf09a6302052b52d036 bbd0fe62a8a7196f1643bd83af1f04c4176be0f1
23248038,Nils Horbelt,a4cf7e25558c1b49579dea7ad9bf712f40ee9bba
2352614,E. Scoppola,a4cf7e25558c1b49579dea7ad9bf712f40ee9bba
2128662501,Chenghao Li,a4cf7e25558c1b49579dea7ad9bf712f40ee9bba
2120640337,Peter Werner,a4cf7e25558c1b49579dea7ad9bf712f40ee9bba
115254850,Z. Fu,a4cf7e25558c1b49579dea7ad9bf712f40ee9bba
4242742,P. Fratzl,a4cf7e25558c1b49579dea7ad9bf712f40ee9bba 227e5a4a90c5c21069ddccf09a6302052b52d036 97b5bbd4d8164a7157629e858c12040dd612cdf0
50290971,R. Goulet,dea8075cc7fa43811b84cff0fde8ee2cc42e78eb
3625263,S. Hollister,dea8075cc7fa43811b84cff0fde8ee2cc42e78eb
2918313,D. Burr,784bbb1bf40f2d003a13700fff0977e372ec11d9
152398506,E. Seeman,d5255aa2d8c36001a569f0e79dac3a1c335258af
1696132,P. Delmas,d5255aa2d8c36001a569f0e79dac3a1c335258af
6021593,M. Kerschnitzki,227e5a4a90c5c21069ddccf09a6302052b52d036 bbd0fe62a8a7196f1643bd83af1f04c4176be0f1
6314197,Philip Kollmannsberger,227e5a4a90c5c21069ddccf09a6302052b52d036 bbd0fe62a8a7196f1643bd83af1f04c4176be0f1
30147407,M. Burghammer,227e5a4a90c5c21069ddccf09a6302052b52d036
3211674,G. Duda,227e5a4a90c5c21069ddccf09a6302052b52d036
2755403,R. Weinkamer,227e5a4a90c5c21069ddccf09a6302052b52d036 bbd0fe62a8a7196f1643bd83af1f04c4176be0f1
2268879796,Gwendolen C. Reilly,d83ad588f659b4a5723e386b3bc439f0cf5689a6
2242448730,J. Currey,d83ad588f659b4a5723e386b3bc439f0cf5689a6
1796681,J. Nyman,040a0bb36045fe21fdcc8da1a1937de0615b9bd8
40266674,M. Reyes,040a0bb36045fe21fdcc8da1a1937de0615b9bd8
9293578,Xiaodun Wang,040a0bb36045fe21fdcc8da1a1937de0615b9bd8 afd7a72662189fc58fc1a736c9ee86a33908ed27
2118208439,Dan Wu,0c4b6dd2bdc9a5cfc525029423ccbbb8a6431b65
153402462,P. Isaksson,0c4b6dd2bdc9a5cfc525029423ccbbb8a6431b65
47404145,S. Ferguson,0c4b6dd2bdc9a5cfc525029423ccbbb8a6431b65 9d85868d7cb5286ad044a190775f5121d6af9c5b
2569260,C. Persson,0c4b6dd2bdc9a5cfc525029423ccbbb8a6431b65
